playerid,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP
sa3011216,Cole Gordon,NYM,0,10,10.0,0.0,1.0,0.0,0.0,1.0,9.0,5.0,2.0,10.0,5.0,1.41,8.87,4.17,4.76,4.98,-0.1,-0.1,999.0
3281,Joe Smith,,0,48,48.0,2.0,2.0,0.0,0.0,0.0,51.0,24.0,7.0,39.0,15.0,1.37,7.22,2.81,4.56,4.63,-0.1,0.0,999.0
sa873437,Elvin Rodriguez,DET,0,14,14.0,1.0,1.0,0.0,0.0,1.0,14.0,8.0,2.0,12.0,5.0,1.39,7.74,3.39,4.92,5.01,-0.1,0.0,999.0
17878,Dennis Santana,TEX,0,48,48.0,2.0,2.0,0.0,0.0,8.0,45.0,23.0,6.0,48.0,24.0,1.44,8.95,4.46,4.4,4.55,-0.1,0.1,999.0
20198,Ben Bowden,COL,0,34,34.0,1.0,2.0,0.0,0.0,1.0,35.0,20.0,6.0,35.0,17.0,1.53,9.22,4.48,5.41,5.2,-0.1,-0.1,999.0
20631,Jordan Holloway,MIA,0,38,38.0,2.0,2.0,0.0,0.0,3.0,36.0,19.0,5.0,36.0,21.000000000000004,1.49,8.51,4.96,4.48,4.73,-0.09999999999999999,-0.09999999999999999,999.0
14672,Dillon Maples,,0,38,38.0,2.0,2.0,0.0,0.0,0.0,33.0,19.0,4.0,42.00000000000001,25.0,1.52,10.02,5.8,4.42,4.62,-0.09999999999999999,0.09999999999999999,999.0
sa921876,Angel De Jesus,DET,0,32,32.0,1.0,2.0,0.0,0.0,1.0,30.0,17.0,4.0,31.0,17.0,1.47,8.6,4.68,4.66,4.78,-0.1,0.0,999.0
sa829470,Argenis Angulo,MIN,0,10,10.0,0.0,1.0,0.0,0.0,1.0,10.0,6.0,2.0,9.0,5.0,1.54,8.37,4.8,5.19,5.19,-0.1,0.0,999.0
19868,Drew Carlton,DET,0,8,8.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,1.0,6.0,3.0,1.45,6.62,3.38,5.2,5.27,-0.1,-0.1,999.0
20061,Kaleb Ort,BOS,0,32,32.0,2.0,2.0,0.0,0.0,1.0,30.0,17.0,5.0,33.0,15.0,1.42,9.22,4.26,4.65,4.6,-0.1,0.0,999.0
sa856254,Ryan Mason,MIN,0,32,32.0,1.0,2.0,0.0,0.0,1.0,32.0,17.0,4.0,29.0,15.0,1.48,8.12,4.26,4.79,4.76,-0.1,0.0,999.0
22092,Kyle Tyler,LAA,0,42,42.0,2.0,2.0,0.0,0.0,3.0,43.0,21.0,6.0,35.0,15.0,1.38,7.49,3.22,4.56,4.72,-0.1,0.0,999.0
sa874818,Wandisson Charles,OAK,0,18,18.0,1.0,1.0,0.0,0.0,1.0,16.0,9.0,2.0,19.0,10.0,1.47,9.3,5.15,4.51,4.76,-0.1,-0.1,999.0
14814,Buck Farmer,,0,30,30.0,1.0,2.0,0.0,0.0,0.0,30.0,16.0,5.0,27.0,13.0,1.44,8.11,3.87,4.73,4.8,-0.1,-0.1,999.0
5615,Ryan Brasier,BOS,0,64,64.0,3.0,3.0,0.0,2.0,15.0,64.0,33.0,9.0,60.0,25.0,1.39,8.38,3.48,4.62,4.51,-0.1,0.2,601.0
