"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"José Abreu","CHW","154","665","593","155","32","2","31","84","109","50","149","15","1","0","",".261",".331",".476",".807",".343","","-2.0","-1.2","","2.2","","75.2","15676"
"Teoscar Hernández","TOR","151","651","594","156","30","2","35","90","107","47","174","6","10","4","",".263",".321",".497",".818",".346","","-2.5","0.0","","2.2","","30.5","13066"
"Nick Madrigal","CHC","130","560","515","153","25","6","6","63","51","30","40","8","13","8","",".296",".342",".400",".742",".323","","2.9","-1.4","","2.2","","296.2","20521"
"Mitch Haniger","SEA","143","616","548","135","25","2","30","87","85","53","154","9","3","0","",".247",".320",".464",".783",".334","","-0.4","-0.8","","2.2","","106.6","14274"
"Adam Frazier","SEA","133","574","518","138","26","3","9","68","46","41","73","8","7","5","",".267",".330",".380",".710",".310","","0.7","-0.5","","2.2","","350.6","15223"
"Mark Canha","NYM","134","581","486","114","22","3","19","77","64","70","130","20","8","3","",".235",".352",".410",".762",".335","","-2.9","-0.2","","2.1","","277.0","11445"
"Marcell Ozuna","ATL","149","644","575","151","25","1","29","82","100","62","141","3","4","1","",".263",".336",".466",".802",".343","","0.5","0.0","","2.1","","192.8","10324"
"Carson Kelly","ARI","104","411","356","85","16","1","15","47","51","45","86","5","1","0","",".240",".330",".418",".749",".323","","0.1","-0.4","","2.1","","267.2","13620"
"Mike Yastrzemski","SFG","133","574","507","122","28","4","23","72","71","54","145","8","4","2","",".241",".321",".448",".769",".328","","0.4","-0.2","","2.1","","284.1","14854"
"Lorenzo Cain","MIL","123","532","475","126","23","0","12","62","50","46","95","5","16","5","",".265",".335",".390",".725",".318","","4.1","1.1","","2.1","","415.4","9077"
"Andrés Giménez","CLE","115","497","454","113","23","3","15","58","52","24","116","12","19","6","",".250",".303",".410",".713",".307","","4.4","1.1","","2.1","","275.5","19950"
"Abraham Toro","SEA","107","462","410","102","20","2","14","56","52","39","77","9","6","3","",".250",".326",".407",".734",".320","","-0.1","-0.6","","2.0","","262.2","19844"
"AJ Pollock","LAD","126","546","496","131","27","1","25","70","85","36","113","8","8","2","",".264",".320",".477",".797",".337","","-1.0","0.0","","2.0","","221.3","9256"
"Jeremy Peña","HOU","117","504","463","116","17","4","18","51","54","27","124","8","10","5","",".250",".301",".418",".720",".310","","-0.6","-0.4","","2.0","","464.8","sa876320"
"Jorge Soler","","146","630","545","129","28","0","35","83","96","72","168","8","1","0","",".236",".331",".481",".813",".347","","-1.9","-1.6","","2.0","","197.8","14221"
"Akil Baddoo","DET","143","616","547","138","26","8","18","80","69","61","153","2","23","6","",".253",".328",".430",".758",".326","","-2.0","1.9","","2.0","","155.9","22168"
"Luke Voit","NYY","134","581","506","127","20","2","29","78","86","60","160","10","1","0","",".250",".340",".466",".806",".346","","-3.0","-1.0","","2.0","","259.7","14811"
"Andrew Benintendi","KCR","130","560","500","134","29","3","16","69","67","49","108","4","11","5","",".267",".335",".436",".771",".332","","1.2","-0.5","","2.0","","192.7","17901"
"Jonah Heim","TEX","79","314","287","70","14","0","8","32","33","20","56","2","2","1","",".243",".296",".378",".673",".292","","3.8","-0.4","","2.0","","452.9","16930"
"J.D. Martinez","BOS","154","665","592","160","35","2","30","89","98","62","155","5","1","0","",".270",".342",".488",".830",".350","","-0.1","-1.9","","2.0","","89.1","6184"
"Avisaíl García","MIA","139","602","545","141","25","1","23","71","78","41","142","11","8","4","",".259",".321",".437",".758",".324","","1.9","-0.8","","1.9","","174.1","5760"
